date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:20:50	64506/64506	---M-Z	200	added ('OK')	text/html	date:Sun,%2018%20Oct%202020%2019:11:22%20GMT	https://promosisuzukijogja.com/produk/suzuki-xl7.html	C:/My%20Web%20Sites/Modif%20website/promosisuzukijogja.com/produk/suzuki-xl7.html	(from https://promosisuzukijogja.com/)
12:20:50	21065/21065	---M-Z	200	added ('OK')	text/html	date:Fri,%2016%20Oct%202020%2015:40:10%20GMT	https://promosisuzukijogja.com/produk/all-new-ertiga.html	C:/My%20Web%20Sites/Modif%20website/promosisuzukijogja.com/produk/all-new-ertiga.html	(from https://promosisuzukijogja.com/)
12:20:50	29209/29209	---M-Z	200	added ('OK')	text/html	date:Thu,%2015%20Oct%202020%2016:35:20%20GMT	https://promosisuzukijogja.com/produk/ertiga-sport.html	C:/My%20Web%20Sites/Modif%20website/promosisuzukijogja.com/produk/ertiga-sport.html	(from https://promosisuzukijogja.com/)
12:20:50	20987/20987	---M-Z	200	added ('OK')	text/html	date:Sun,%2018%20Oct%202020%2019:11:30%20GMT	https://promosisuzukijogja.com/produk/wagon-r.html	C:/My%20Web%20Sites/Modif%20website/promosisuzukijogja.com/produk/wagon-r.html	(from https://promosisuzukijogja.com/)
12:20:51	21480/21480	---M-Z	200	added ('OK')	text/html	date:Sun,%2018%20Oct%202020%2019:11:38%20GMT	https://promosisuzukijogja.com/produk/wagon-r-gs.html	C:/My%20Web%20Sites/Modif%20website/promosisuzukijogja.com/produk/wagon-r-gs.html	(from https://promosisuzukijogja.com/)
12:20:51	21245/21245	---M-Z	200	added ('OK')	text/html	date:Thu,%2015%20Oct%202020%2016:41:12%20GMT	https://promosisuzukijogja.com/produk/apv-arena.html	C:/My%20Web%20Sites/Modif%20website/promosisuzukijogja.com/produk/apv-arena.html	(from https://promosisuzukijogja.com/)
12:20:51	42351/42351	---M-Z	200	added ('OK')	text/html	date:Sun,%2018%20Oct%202020%2018:55:48%20GMT	https://promosisuzukijogja.com/produk/ignis.html	C:/My%20Web%20Sites/Modif%20website/promosisuzukijogja.com/produk/ignis.html	(from https://promosisuzukijogja.com/)
12:20:51	20952/20952	---M-Z	200	added ('OK')	text/html	date:Sun,%2018%20Oct%202020%2019:11:00%20GMT	https://promosisuzukijogja.com/produk/s-cross.html	C:/My%20Web%20Sites/Modif%20website/promosisuzukijogja.com/produk/s-cross.html	(from https://promosisuzukijogja.com/)
12:20:52	29779/29779	---M-Z	200	added ('OK')	text/html	date:Sun,%2018%20Oct%202020%2018:56:14%20GMT	https://promosisuzukijogja.com/produk/baleno.html	C:/My%20Web%20Sites/Modif%20website/promosisuzukijogja.com/produk/baleno.html	(from https://promosisuzukijogja.com/)
12:20:52	20989/20989	---M-Z	200	added ('OK')	text/html	date:Sun,%2018%20Oct%202020%2019:10:46%20GMT	https://promosisuzukijogja.com/produk/jimny.html	C:/My%20Web%20Sites/Modif%20website/promosisuzukijogja.com/produk/jimny.html	(from https://promosisuzukijogja.com/)
12:20:52	29004/29004	---M-Z	200	added ('OK')	text/html	date:Sun,%2018%20Oct%202020%2019:30:07%20GMT	https://promosisuzukijogja.com/produk/carry-blind-van.html	C:/My%20Web%20Sites/Modif%20website/promosisuzukijogja.com/produk/carry-blind-van.html	(from https://promosisuzukijogja.com/)
12:20:52	20276/20276	---M-Z	200	added ('OK')	text/html	date:Sun,%2018%20Oct%202020%2018:55:10%20GMT	https://promosisuzukijogja.com/produk/new-carry.html	C:/My%20Web%20Sites/Modif%20website/promosisuzukijogja.com/produk/new-carry.html	(from https://promosisuzukijogja.com/)
12:20:52	28573/28573	---M-Z	200	added ('OK')	text/html	date:Sun,%2018%20Oct%202020%2018:54:30%20GMT	https://promosisuzukijogja.com/produk/new-carry-luxury.html	C:/My%20Web%20Sites/Modif%20website/promosisuzukijogja.com/produk/new-carry-luxury.html	(from https://promosisuzukijogja.com/)
12:20:53	1237/1237	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2012%20Jun%202021%2005:20:57%20GMT	https://promosisuzukijogja.com/produk/xl7.html	C:/My%20Web%20Sites/Modif%20website/promosisuzukijogja.com/produk/xl7.html	(from https://promosisuzukijogja.com/)
